ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
GFS,weekly,2025-08-04,Short,33.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,32.2900,3.0969,28,44.4744,38.3822,41.4283,False,9290700,25.0000,4.6500,-12.5880,3.0969
GILD,weekly,2025-07-21,Long,115.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,116.2000,-0.9897,42,97.2717,106.7358,102.0038,True,19934800,25.0000,7.8200,7.2154,-0.9897
GOOG,weekly,2025-07-07,Long,235.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,181.3100,29.7060,56,149.6345,165.4722,157.5534,True,159452600,35.0000,1.1750,0.6523,29.7060
GOOGL,weekly,2025-06-30,Long,235.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,179.5300,30.8973,63,145.0368,162.2834,153.6601,True,249109600,35.0000,1.2500,-0.6914,30.8973
HON,weekly,2025-09-01,Short,214.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,214.2500,0.0000,0,236.1106,225.1803,230.6455,False,15533700,40.0000,2.7800,-1.2809,0.0000
IDXX,weekly,2025-05-05,Long,642.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,491.7000,30.7688,119,384.2326,437.9663,411.0995,True,1624900,35.0000,19.8000,4.1958,30.7688
INTC,weekly,2025-07-28,Short,24.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,19.3100,26.8255,35,26.2079,22.7590,24.4835,False,220249600,20.0000,1.5100,-7.2526,26.8255
INTU,weekly,2025-08-18,Short,672.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,662.6600,1.5332,14,812.9611,737.8106,775.3858,False,7000000,25.0000,52.4200,-7.3307,1.5332
ISRG,weekly,2025-08-04,Short,466.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,470.0800,-0.6850,28,560.6134,515.3467,537.9801,False,13844800,25.6850,16.6700,-3.4248,-0.6850
IWM,weekly,2025-06-02,Long,237.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,211.3157,12.5189,91,183.2481,197.2819,190.2650,True,144216400,35.0000,6.5618,3.2047,12.5189
KDP,weekly,2025-08-25,Short,28.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,29.0900,-1.5125,7,36.7201,32.9051,34.8126,False,121703000,29.5125,1.9100,-6.1613,-1.5125
KHC,weekly,2025-07-21,Long,27.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,28.6800,-4.8466,42,24.6423,26.6611,25.6517,True,90469500,25.0000,0.7200,2.5751,-4.8466
KLAC,weekly,2025-05-12,Long,905.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,787.5560,14.9239,112,556.5911,672.0735,614.3323,True,4143800,35.0000,45.9591,6.1973,14.9239
LIN,weekly,2025-02-03,Long,468.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,452.0952,3.5240,210,402.7166,427.4059,415.0613,True,5607200,28.5240,9.9549,2.2515,3.5240
